"GEOID","NAME","variable","estimate","moe","varlab"
"3603902","NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York","S1501_C02_015",36.7,3.7,"Education"
"3603902","NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York","S1701_C03_001",7.2,2,"Poverty"
"3603902","NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York","S2801_C02_017",76.1,4.3,"Broadband"
"3603903","NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York","S1501_C02_015",31.1,2.8,"Education"
"3603903","NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York","S1701_C03_001",13,2.6,"Poverty"
"3603903","NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York","S2801_C02_017",65.4,4,"Broadband"
"3604001","NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York","S1501_C02_015",52.5,3.6,"Education"
"3604001","NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York","S1701_C03_001",20.1,3.3,"Poverty"
"3604001","NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York","S2801_C02_017",74.2,3,"Broadband"
"3604002","NYC-Brooklyn Community District 4--Bushwick PUMA, New York","S1501_C02_015",33.9,3.1,"Education"
"3604002","NYC-Brooklyn Community District 4--Bushwick PUMA, New York","S1701_C03_001",20.7,3,"Poverty"
"3604002","NYC-Brooklyn Community District 4--Bushwick PUMA, New York","S2801_C02_017",72.7,4.2,"Broadband"
"3604003","NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York","S1501_C02_015",38.7,3.1,"Education"
"3604003","NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York","S1701_C03_001",23,3.6,"Poverty"
"3604003","NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York","S2801_C02_017",66.8,3.7,"Broadband"
"3604004","NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York","S1501_C02_015",68.6,2.5,"Education"
"3604004","NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York","S1701_C03_001",13.8,2.3,"Poverty"
"3604004","NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York","S2801_C02_017",80.6,2.6,"Broadband"
"3604005","NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York","S1501_C02_015",77.8,2.7,"Education"
"3604005","NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York","S1701_C03_001",7.6,2.4,"Poverty"
"3604005","NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York","S2801_C02_017",85.9,2.8,"Broadband"
"3604006","NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York","S1501_C02_015",49,3.5,"Education"
"3604006","NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York","S1701_C03_001",15.9,3.3,"Poverty"
"3604006","NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York","S2801_C02_017",74.7,3.8,"Broadband"
"3604007","NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York","S1501_C02_015",16.2,2.7,"Education"
"3604007","NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York","S1701_C03_001",34.3,4.2,"Poverty"
"3604007","NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York","S2801_C02_017",60.4,3.5,"Broadband"
"3604008","NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York","S1501_C02_015",13.3,2,"Education"
"3604008","NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York","S1701_C03_001",23.3,3.7,"Poverty"
"3604008","NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York","S2801_C02_017",75.6,3.1,"Broadband"
"3604009","NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York","S1501_C02_015",35.2,2,"Education"
"3604009","NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York","S1701_C03_001",10.6,2.2,"Poverty"
"3604009","NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York","S2801_C02_017",82.1,2.5,"Broadband"
"3604010","NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York","S1501_C02_015",25.7,2.8,"Education"
"3604010","NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York","S1701_C03_001",9.9,2,"Poverty"
